name,cat_id
가바토파정 100mg,16548
게보린정 300mg/PTP,573
글리아타민연질캡슐,32310
글리틴정(콜린알포세레이트),33880
기넥신에프정(은행엽엑스)(수출용),3483
낙소졸정 500/20mg,31705
넥시움정 40mg,10224
노바스크정 5mg,19861
놀텍정 10mg,24850
뉴로메드정(옥시라세탐),3832
다보타민큐정 10mg/병,12778
동아가바펜틴정 800mg,16551
동아오팔몬정(리마프로스트알파-시클로덱스트린포접화합물),3614
동화덴스톨캡슐 150mg/PTP,10487
디카맥스디플러스정,23319
디카테오엘씨정 10mg/병,53384
디카테오정,29711
라비에트정 20mg,21771
라시도필캡슐(비매품),20004
락토엔큐캡슐(바실루스리케니포르미스균) ,38927
란스톤엘에프디티정 30mg,18110
람노스캡슐500mg/병,41149
레일라정,29451
렉사프로정 15mg,29871
로수바미브정 10/20mg,38162
로수젯정10/5밀리그램,36637
리렉스펜정 300mg/PTP,12081
리리카캡슐 150mg,18147
리바로정 4mg,29667
리피로우정 20mg,22074
리피토정 20mg,16232
마그밀정(수산화마그네슘),250
마도파정,20014
마이칼디정,25200
맥시부펜이알정 300mg,22362
메가파워정 90mg/병,22627
무코스타정(레바미피드)(비매품),3544
뮤코원캡슐(에르도스테인),38954
뮤테란캡슐 100mg,2483
바이오탑디캡슐 50mg/병,43233
바이오탑하이캡슐 150mg/병,44266
베시케어정 10mg,20852
보령부스파정 5mg,1900
브린텔릭스정 20mg,33878
비모보정 500/20mg,29345
비오플250캡슐 282.5mg,30850
비유피-4정 20mg,5000
비타비백정 100mg/병,23223
삐콤씨에프정 618.6mg/병,6192
삼남건조수산화알루미늄겔정,5094
세비카정 10/40mg,27653
스토가정 10mg,19607
신바로정,33009
써스펜8시간이알서방정 650mg,13395
쎄로켈정 100mg,10221
씨즈날정(세티리진염산염),6697
아모잘탄정 5/100mg,25469
아보다트연질캡슐 0.5mg,16206
아빌리파이정 10mg,12247
아스피린프로텍트정 100mg,11220
아질렉트정(라사길린메실산염),31863
아토르바정 10mg,21325
아토젯정 10/40mg,35206
알드린정,3743
알러비정(세티리진염산염),38972
알마겔정(알마게이트)(수출명:유한가스트라겔정),1866
알바스테인캡슐(에르도스테인),37777
액티프롤정 60mg/PTP,24941
에빅사정(메만틴염산염)(비매품),13900
에스원엠프정 20mg,33208
에어탈정(아세클로페낙),4543
엑스포지정 5/160mg,20877
엔테론정 150mg,15710
엔트레스토필름코팅정 200mg,38723
엘도스캡슐(에르도스테인)(수출용),5002
엘스테인정(에르도스테인),44834
엘스테인캡슐(에르도스테인),13161
오마코연질캡슐(오메가-3-산에틸에스테르90),16688
울트라셋이알서방정,27926
원더칼-디츄어블정,26993
이가탄에프캡슐 150mg/PTP,13004
이튼큐정 35mg/PTP,6835
인사돌플러스정 35mg/PTP,20753
일양하이트린정 2mg,3351
자누메트엑스알서방정 100/1000mg,31885
자누메트정 50/850mg,25367
자누비아정 50mg,22347
자이프렉사정 2.5mg,12420
자트랄엑스엘정 10mg,20259
제라타딘정(로라타딘),35659
제미메트서방정 50/1000mg,34597
조인스정 200mg,6563
졸로푸트정 100mg,27993
종근당글리아티린연질캡슐(콜린알포세레이트) ,18357
지르텍정(세티리진염산염),19881
카나브정 60mg,27777
카듀엣정 5mg/20mg,16235
카발린캡슐 25mg,41768
케이캡정 50mg,44199
콜리네이트연질캡슐 400mg,19232
쿠에타핀정 25mg,23203
큐시드정 31.5mg/PTP,25438
크레스토정 20mg,16262
클라리틴정(로라타딘),26455
타이레놀이알서방정(아세트아미노펜)(수출용),5886
타이레놀정500mg,4378
토비애즈서방정 4mg,24752
투스딘골드캡슐 150mg/PTP,12638
트라젠타듀오정 2.5/850mg,30308
트라젠타정(리나글립틴),28763
트루비타정 60mg/병,19552
트루패스정 4mg,33026
트윈스타정 40/5mg,27733
펠루비정(펠루비프로펜),21026
프로스카정,5391
플라빅스정 75mg,20238
플리바스정 50mg,28424
한미탐스캡슐 0.2mg,15280
